ID,본문,소제목,제목,저자,annotator01,annotator02,annotator03,annotator04
1723,옛 조상(祖上)들의 기록(記錄)을 묻어둔 그곳!,,무덤,김소월,"감동/감탄, 존경, 환영/호의, 놀람, 깨달음, 기대감","감동/감탄, 존경, 환영/호의, 놀람, 기대감, 비장함, 불안/걱정, 안심/신뢰, 경악","놀람, 비장함","비장함, 존경, 슬픔"
1724,"나는 두루 찾노라, 그곳에서,",,무덤,김소월,"기대감, 없음","기대감, 없음","기대감, 신기함/관심","불안/걱정, 힘듦/지침"
1725,"형적없는 노래 흘러퍼져,",,무덤,김소월,"신기함/관심, 불안/걱정","기대감, 신기함/관심","슬픔, 안타까움/실망","불안/걱정, 의심/불신, 절망, 힘듦/지침"
1726,"그림자 가득한 언덕으로 여기저기,",,무덤,김소월,"불안/걱정, 의심/불신, 없음","불안/걱정, 힘듦/지침, 기대감, 서러움, 슬픔","불쌍함/연민, 서러움","불안/걱정, 서러움, 공포/무서움"
1727,그 누구가 나를 헤내는 부르는 소리,,무덤,김소월,"신기함/관심, 기대감, 놀람",신기함/관심,"불안/걱정, 안타까움/실망","비장함, 기대감"
1728,"부르는 소리, 부르는 소리,",,무덤,김소월,"기대감, 신기함/관심","불안/걱정, 신기함/관심",기대감,"슬픔, 안타까움/실망, 힘듦/지침"
1729,내 넋을 잡아끌어 헤내는 부르는 소리.,,무덤,김소월,"기대감, 깨달음, 놀람, 신기함/관심, 환영/호의, 기쁨","기대감, 놀람, 불안/걱정, 신기함/관심","공포/무서움, 당황/난처, 부담/안_내킴, 불안/걱정, 힘듦/지침","슬픔, 불안/걱정, 절망"
1730,"함께 하려노라, 비난수 하는 나의 맘,",,비난수 하는 맘,김소월,"비장함, 아껴주는","비장함, 서러움","불안/걱정, 당황/난처, 절망","불안/걱정, 슬픔"
1731,"모든 것을 한짐에 묶어가지고 가기까지,",,비난수 하는 맘,김소월,"기대감, 비장함, 환영/호의, 깨달음","힘듦/지침, 불안/걱정, 불쌍함/연민, 서러움, 안타까움/실망","기대감, 부담/안_내킴, 힘듦/지침","힘듦/지침, 불안/걱정, 부담/안_내킴"
1732,"아침이면 이슬맞은 바위의 붉은 줄로,",,비난수 하는 맘,김소월,없음,없음,신기함/관심,"슬픔, 절망"
1733,"기어오르는 해를 바라다보며, 입을 벌리고.",,비난수 하는 맘,김소월,"신기함/관심, 감동/감탄, 놀람","신기함/관심, 기대감, 불안/걱정","감동/감탄, 놀람","감동/감탄, 기대감, 아껴주는, 신기함/관심, 안심/신뢰"
1734,"떠돌어라, 비난수하는 맘이어, 갈매기같이,",,비난수 하는 맘,김소월,"불안/걱정, 비장함, 서러움, 불쌍함/연민","불안/걱정, 비장함, 서러움, 불쌍함/연민, 슬픔","화남/분노, 패배/자기혐오, 불평/불만","불안/걱정, 힘듦/지침"
1735,"다만 무덤뿐이 그늘을 어른이는 하늘 위를,",,비난수 하는 맘,김소월,"안타까움/실망, 깨달음, 불쌍함/연민","안타까움/실망, 불쌍함/연민","불안/걱정, 부담/안_내킴, 슬픔","슬픔, 깨달음, 비장함, 힘듦/지침"
1736,바닷가의. 잃어버린 세상의 있다던 모든 것들은,,비난수 하는 맘,김소월,"감동/감탄, 존경, 없음","기대감, 불안/걱정, 슬픔, 안타까움/실망","서러움, 안타까움/실망","불안/걱정, 당황/난처, 의심/불신"
1737,차라리 내 몸이 죽어가서 없어진 것만도 못하건만.,,비난수 하는 맘,김소월,"죄책감, 슬픔, 불쌍함/연민","죄책감, 슬픔, 불쌍함/연민, 서러움, 불평/불만, 불안/걱정, 비장함, 안타까움/실망","부담/안_내킴, 비장함, 안타까움/실망","비장함, 슬픔, 서러움, 절망"
1738,"또는 비난수하는 나의 맘, 헐벗은 산(山) 위에서,",,비난수 하는 맘,김소월,"불안/걱정, 죄책감","불안/걱정, 슬픔, 비장함, 안타까움/실망, 기대감, 서러움","당황/난처, 불안/걱정, 불평/불만, 비장함, 절망, 패배/자기혐오","부끄러움, 패배/자기혐오, 절망, 슬픔"
1739,"떨어진 잎 타서오르는, 냇내의 한줄기로,",,비난수 하는 맘,김소월,없음,신기함/관심,"깨달음, 당황/난처","아껴주는, 힘듦/지침, 재미없음"
1740,"바람에 나부끼라 저녁은, 흩어진 거미줄의",,비난수 하는 맘,김소월,"불안/걱정, 없음, 신기함/관심","비장함, 서러움",없음,"불안/걱정, 슬픔"
1741,밤에 매던 이슬은 곧 다시 떨어진다고 할지라도.,,비난수 하는 맘,김소월,"기대감, 흐뭇함(귀여움/예쁨)","불안/걱정, 서러움, 슬픔, 안타까움/실망, 기대감, 비장함","부담/안_내킴, 불안/걱정, 불평/불만, 안타까움/실망","비장함, 슬픔, 기대감"
1742,"함께하려 하노라, 오오 비난수하는 나의 맘이여,",,비난수 하는 맘,김소월,"감동/감탄, 환영/호의, 깨달음, 비장함","감동/감탄, 비장함, 불쌍함/연민, 패배/자기혐오, 서러움, 슬픔, 아껴주는","비장함, 슬픔","비장함, 아껴주는, 기대감"
1743,있다가 없어지는 세상에는,,비난수 하는 맘,김소월,슬픔,"슬픔, 서러움, 불안/걱정","당황/난처, 부담/안_내킴, 불평/불만, 안타까움/실망","당황/난처, 불안/걱정, 비장함, 슬픔"
1744,"오직 날과 날이 닭소리와 함께 달아나 버리며,",,비난수 하는 맘,김소월,"놀람, 신기함/관심","놀람, 신기함/관심","놀람, 당황/난처, 안타까움/실망","당황/난처, 안타까움/실망"
1745,"가까웁는, 오오 가까웁는 그대뿐이 내게 있거라!",,비난수 하는 맘,김소월,"기대감, 아껴주는, 비장함, 환영/호의","기대감, 불안/걱정, 서러움, 아껴주는","기쁨, 뿌듯함, 아껴주는, 즐거움/신남","감동/감탄, 아껴주는, 안심/신뢰"
1746,하루라도 몇 번(番)씩 내 생각은,,사노라면 사람은 죽는 것을,김소월,"지긋지긋, 신기함/관심","지긋지긋, 힘듦/지침, 불안/걱정, 당황/난처","기대감, 기쁨, 불안/걱정","슬픔, 재미없음"
1747,내가 무엇하려고 살려는지?,,사노라면 사람은 죽는 것을,김소월,"불안/걱정, 의심/불신, 당황/난처, 힘듦/지침","패배/자기혐오, 불평/불만, 불안/걱정, 절망","부담/안_내킴, 불평/불만, 패배/자기혐오","절망, 힘듦/지침, 패배/자기혐오"
1748,"모르고 살았노라, 그럴 말로",,사노라면 사람은 죽는 것을,김소월,"부끄러움, 어이없음, 깨달음","부끄러움, 비장함, 서러움",없음,"깨달음, 비장함, 슬픔"
1749,그러나 흐르는 저 냇물이,,사노라면 사람은 죽는 것을,김소월,"기대감, 신기함/관심, 없음","기대감, 불안/걱정",없음,"깨달음, 신기함/관심"
1750,흘러가서 바다로 든댈진댄.,,사노라면 사람은 죽는 것을,김소월,없음,"비장함, 뿌듯함, 안타까움/실망",기대감,깨달음
1751,"일로조차 그러면, 이 내 몸은",,사노라면 사람은 죽는 것을,김소월,없음,"서러움, 없음","부담/안_내킴, 불안/걱정, 안타까움/실망, 한심함, 힘듦/지침","불안/걱정, 힘듦/지침, 슬픔, 절망"
1752,애쓴다고는 말부터 잊으리라.,,사노라면 사람은 죽는 것을,김소월,"의심/불신, 한심함, 지긋지긋, 짜증","의심/불신, 지긋지긋, 비장함, 서러움, 안타까움/실망",비장함,"깨달음, 비장함"
1753,사노라면 사람은 죽는 것을,,사노라면 사람은 죽는 것을,김소월,"깨달음, 비장함, 슬픔, 서러움","깨달음, 비장함, 서러움, 슬픔, 안타까움/실망","공포/무서움, 깨달음, 불쌍함/연민, 부담/안_내킴, 불안/걱정","불쌍함/연민, 안타까움/실망, 절망, 슬픔"
1754,"그러나, 다시 내 몸,",,사노라면 사람은 죽는 것을,김소월,"불안/걱정, 비장함","불안/걱정, 비장함, 서러움, 안타까움/실망, 패배/자기혐오","패배/자기혐오, 한심함","경악, 당황/난처, 슬픔"
1755,봄빛의 불붙는 사태흙에,,사노라면 사람은 죽는 것을,김소월,없음,"기대감, 불안/걱정, 놀람",신기함/관심,"기대감, 기쁨, 행복"
1756,집 짓는 저 개아미,,사노라면 사람은 죽는 것을,김소월,"신기함/관심, 없음","불쌍함/연민, 신기함/관심, 아껴주는","불쌍함/연민, 안타까움/실망","감동/감탄, 신기함/관심, 안심/신뢰, 존경"
1757,"나도 살려 하노라, 그와 같이",,사노라면 사람은 죽는 것을,김소월,"비장함, 존경","비장함, 존경, 감동/감탄","기대감, 안심/신뢰","비장함, 힘듦/지침"
1758,사는 날 그날까지,,사노라면 사람은 죽는 것을,김소월,"비장함, 없음","비장함, 없음","기대감, 슬픔, 서러움, 힘듦/지침","기대감, 비장함"
1759,"살음에 즐거워서,",,사노라면 사람은 죽는 것을,김소월,"즐거움/신남, 기대감, 기쁨, 행복","즐거움/신남, 기대감, 기쁨, 행복","기쁨, 깨달음, 즐거움/신남","기쁨, 즐거움/신남"
1760,사는 것이 사람의 본뜻이면,,사노라면 사람은 죽는 것을,김소월,"비장함, 깨달음","비장함, 깨달음, 기대감, 불안/걱정","깨달음, 비장함, 존경","비장함, 깨달음, 기대감"
1761,오오 그러면 내 몸에는,,사노라면 사람은 죽는 것을,김소월,"감동/감탄, 신기함/관심","감동/감탄, 신기함/관심, 기대감, 놀람, 불안/걱정",기대감,"깨달음, 비장함"
1762,다시는 애쓸 일도 더 없어라,,사노라면 사람은 죽는 것을,김소월,"환영/호의, 우쭐댐/무시함, 지긋지긋, 불쌍함/연민","환영/호의, 지긋지긋, 불쌍함/연민, 비장함, 서러움, 절망, 불안/걱정, 안타까움/실망, 아껴주는","부담/안_내킴, 안타까움/실망, 한심함","불안/걱정, 안타까움/실망, 절망, 힘듦/지침"
1763,사노라면 사람은 죽는 것을.,,사노라면 사람은 죽는 것을,김소월,"비장함, 없음","비장함, 깨달음, 서러움, 안타까움/실망, 슬픔","슬픔, 서러움","깨달음, 공포/무서움, 절망, 힘듦/지침"
1764,아주 나는 바랄 것 더 없노라,,하다못해 죽어 달려가 올라,김소월,"기대감, 감동/감탄, 고마움, 깨달음, 뿌듯함, 환영/호의, 행복, 기쁨","안심/신뢰, 비장함, 뿌듯함, 편안/쾌적","기쁨, 행복","슬픔, 절망, 힘듦/지침"
1765,"빛이랴 허공이랴,",,하다못해 죽어 달려가 올라,김소월,"불안/걱정, 불평/불만, 부담/안_내킴, 의심/불신, 절망","기대감, 불안/걱정, 비장함, 서러움, 신기함/관심, 놀람",없음,"불안/걱정, 불평/불만, 부담/안_내킴"
1766,소리만 남은 내 노래를,,하다못해 죽어 달려가 올라,김소월,"패배/자기혐오, 슬픔, 안타까움/실망, 힘듦/지침","패배/자기혐오, 슬픔, 안타까움/실망, 힘듦/지침, 서러움, 불안/걱정",안타까움/실망,"불안/걱정, 슬픔, 안타까움/실망, 절망, 힘듦/지침"
1767,바람에나 띄워서 보낼밖에.,,하다못해 죽어 달려가 올라,김소월,"슬픔, 기대감, 불안/걱정","슬픔, 기대감, 불안/걱정, 서러움, 안타까움/실망","귀찮음, 부담/안_내킴, 우쭐댐/무시함, 지긋지긋, 짜증","절망, 안타까움/실망"
1768,하다못해 죽어 달려가 올라,,하다못해 죽어 달려가 올라,김소월,비장함,"비장함, 안타까움/실망, 서러움","안타까움/실망, 불쌍함/연민","불안/걱정, 화남/분노, 증오/혐오"
1769,좀 더 높은 데서나 보았으면!,,하다못해 죽어 달려가 올라,김소월,"기대감, 흐뭇함(귀여움/예쁨), 비장함, 환영/호의, 감동/감탄","서러움, 안타까움/실망, 불평/불만","기대감, 안타까움/실망","불평/불만 , 안타까움/실망"
1770,한세상 다 살아도,,하다못해 죽어 달려가 올라,김소월,"기대감, 깨달음, 없음","깨달음, 불안/걱정, 불평/불만, 서러움, 안타까움/실망, 지긋지긋","불쌍함/연민, 서러움, 안타까움/실망","불안/걱정, 비장함, 재미없음, 힘듦/지침"
1771,"살은 뒤 없을 것을,",,하다못해 죽어 달려가 올라,김소월,"안타까움/실망, 불안/걱정, 절망, 패배/자기혐오","비장함, 안타까움/실망, 서러움, 슬픔","당황/난처, 깨달음, 공포/무서움, 부담/안_내킴","안타까움/실망, 힘듦/지침"
1772,내가 다 아노라 지금까지,,하다못해 죽어 달려가 올라,김소월,"우쭐댐/무시함, 안심/신뢰","아껴주는, 서러움, 비장함",우쭐댐/무시함,"절망, 힘듦/지침, 불평/불만"
1773,살아서 이만큼 자랐으니.,,하다못해 죽어 달려가 올라,김소월,"뿌듯함, 흐뭇함(귀여움/예쁨), 안심/신뢰, 아껴주는","기쁨, 불안/걱정, 서러움","감동/감탄, 기대감, 신기함/관심","기대감, 아껴주는, 신기함/관심"
1774,예전에 지나 본 모든 일을,,하다못해 죽어 달려가 올라,김소월,"슬픔, 없음","불안/걱정, 서러움",깨달음,안타까움/실망
1775,살았다고 이를 수 있을진댄!,,하다못해 죽어 달려가 올라,김소월,"화남/분노, 지긋지긋, 힘듦/지침, 불평/불만","힘듦/지침, 불평/불만, 서러움, 안타까움/실망","공포/무서움, 당황/난처, 불안/걱정, 불쌍함/연민, 서러움","절망, 패배/자기혐오"
1776,물가의 닳아져 널린 굴꺼풀에,,하다못해 죽어 달려가 올라,김소월,"불쌍함/연민, 신기함/관심, 놀람","불쌍함/연민, 신기함/관심, 놀람, 불안/걱정",불쌍함/연민,"불안/걱정, 절망, 패배/자기혐오, 힘듦/지침"
1777,붉은 가시덤불 뻗어늙고,,하다못해 죽어 달려가 올라,김소월,없음,"불안/걱정, 경악, 공포/무서움, 안타까움/실망, 불쌍함/연민, 서러움",없음,"힘듦/지침, 깨달음, 슬픔, 안타까움/실망"
1778,어득어득 저문 날을,,하다못해 죽어 달려가 올라,김소월,"신기함/관심, 불안/걱정","신기함/관심, 불안/걱정",없음,"불안/걱정, 힘듦/지침, 의심/불신"
1779,비바람에 울지는 돌무더기,,하다못해 죽어 달려가 올라,김소월,"슬픔, 불쌍함/연민, 안타까움/실망","서러움, 슬픔, 신기함/관심, 불쌍함/연민","공포/무서움, 당황/난처, 부담/안_내킴, 불안/걱정, 슬픔, 서러움, 절망, 패배/자기혐오, 힘듦/지침","불쌍함/연민, 슬픔, 서러움"
1780,밤의 고요한 때라도 지켰으면!,,하다못해 죽어 달려가 올라,김소월,"불안/걱정, 기대감, 불쌍함/연민","불안/걱정, 기대감, 서러움, 슬픔, 안타까움/실망, 한심함","놀람, 당황/난처, 부담/안_내킴, 불안/걱정","불안/걱정, 불평/불만, 안타까움/실망, 의심/불신"
1781,날은 저물고 눈이 나려라,,희망,김소월,"슬픔, 불안/걱정","비장함, 서러움","당황/난처, 부담/안_내킴, 불안/걱정","기대감, 신기함/관심, 재미없음, 힘듦/지침"
1782,낯설은 물가으로 내가 왔을 때.,,희망,김소월,"부담/안_내킴, 기대감, 비장함","불안/걱정, 부담/안_내킴, 기대감",부담/안_내킴,"기대감, 불안/걱정, 힘듦/지침, 신기함/관심"
1783,산(山)속의 올빼미 울고울며,,희망,김소월,"신기함/관심, 없음","슬픔, 서러움, 신기함/관심","서러움, 불안/걱정","불안/걱정, 놀람, 부담/안_내킴, 당황/난처"
1784,떨어진 잎들은 눈 아래로 깔려라,,희망,김소월,"서러움, 불쌍함/연민","서러움, 불쌍함/연민, 슬픔, 안타까움/실망","비장함, 신기함/관심","슬픔, 서러움, 절망"
1785,아아 숙살(肅殺)스럽은 풍경(風景)이어,,희망,김소월,"신기함/관심, 흐뭇함(귀여움/예쁨), 깨달음, 없음, 편안/쾌적, 감동/감탄, 환영/호의","경악, 놀람, 불안/걱정, 서러움, 슬픔, 안타까움/실망",불쌍함/연민,"힘듦/지침, 불안/걱정"
1786,지혜(智慧)의 눈물을 내가 얻을 때!,,희망,김소월,"뿌듯함, 슬픔, 비장함, 기쁨, 놀람, 깨달음","뿌듯함, 슬픔, 비장함, 기쁨, 놀람, 기대감, 불안/걱정","기쁨, 깨달음, 비장함, 뿌듯함, 즐거움/신남, 행복","감동/감탄, 기대감, 기쁨, 행복"
1787,이제금 알기는 알았건마는!,,희망,김소월,"짜증, 안타까움/실망, 불평/불만, 화남/분노","감동/감탄, 당황/난처, 불안/걱정, 안타까움/실망, 짜증","부담/안_내킴, 불안/걱정, 놀람, 당황/난처","깨달음, 안타까움/실망, 기대감"
1788,이 세상 모든 것을,,희망,김소월,"비장함, 없음","비장함, 없음",없음,"기대감, 행복, 환영/호의, 아껴주는"
1789,한갓 아름답은 눈얼님의,,희망,김소월,"아껴주는, 기대감, 흐뭇함(귀여움/예쁨)","아껴주는, 기대감, 흐뭇함(귀여움/예쁨), 불안/걱정","기대감, 기쁨, 흐뭇함(귀여움/예쁨)","감동/감탄, 아껴주는, 환영/호의, 행복, 흐뭇함(귀여움/예쁨)"
